word freq sentiment
about 16311 1
actors 3939 1
all 22432 1
although 2894 1
cast 4049 1
convincing 553 1
earth 721 1
enjoyed 1715 1
entertaining 1729 1
eyes 1289 1
first 8989 1
from 20846 1
gave 1132 1
gives 1988 1
hear 704 1
honest 525 1
insight 225 1
into 8760 1
ireland 100 1
irish 216 1
many 7589 1
may 3796 1
most 9520 1
move 667 1
movie 36706 1
movies 7215 1
murky 30 1
native 210 1
northern 73 1
not 28039 1
open 714 1
outside 605 1
people 8473 1
peoples 276 1
performances 2341 1
portrayals 93 1
quite 4125 1
rarely 348 1
reason 1542 1
reasons 553 1
second 1933 1
seedy 72 1
slightly 546 1
some 14405 1
stellar 141 1
struggle 384 1
tell 1451 1
that 66656 1
thought 3110 1
treated 254 1
two 6949 1
underworld 98 1
very 16103 1
which 11872 1
who 21526 1
whos 705 1
with 45557 1
wont 1324 1
world 4458 1
american 2324 1
back 4801 1
bad 3628 1
beginning 1450 1
believe 2090 1
but 39904 1
cancel 28 1
care 1052 1
chance 1245 1
complaint 159 1
deserved 317 1
did 5562 1
done 3008 1
enjoy 2184 1
even 9487 1
feel 3059 1
few 3698 1
given 1646 1
grow 283 1
had 10044 1
home 2036 1
idol 58 1
judges 69 1
just 13984 1
know 5706 1
miss 1038 1
much 9098 1
only 9802 1
other 9447 1
out 15647 1
potential 373 1
put 2134 1
really 10720 1
show 6517 1
singers 86 1
singing 549 1
slow 822 1
started 771 1
starting 301 1
talent 850 1
television 998 1
them 7606 1
there 13528 1
think 7173 1
though 4543 1
wasnt 1638 1
watching 3771 1
wee 40 1
when 14479 1
wish 992 1
would 10383 1
year 2056 1
achieves 71 1
action 3014 1
after 7352 1
alliance 37 1
also 10729 1
amazing 1974 1
amongst 182 1
animation 904 1
anime 246 1
any 5909 1
atmosphere 921 1
battle 728 1
battles 148 1
before 4225 1
between 3813 1
character 6527 1
characters 7297 1
colony 44 1
combat 124 1
come 3102 1
coming 1116 1
completely 1420 1
control 508 1
corrupt 124 1
create 606 1
deep 822 1
definitely 2053 1
depth 502 1
difference 375 1
different 2933 1
dont 6670 1
drawn 381 1
each 3240 1
earths 30 1
emotion 412 1
end 5254 1
enjoyable 1122 1
ensemble 207 1
entirely 483 1
epic 381 1
episode 1907 1
ever 5319 1
every 3924 1
evil 1161 1
expand 30 1
extent 164 1
fan 1983 1
far 2564 1
fare 193 1
fight 1001 1
finish 343 1
focus 539 1
follow 749 1
following 696 1
free 546 1
future 998 1
general 774 1
get 8211 1
government 456 1
greater 246 1
grows 152 1
having 2416 1
hiding 154 1
how 8245 1
intricate 73 1
joy 409 1
keeps 799 1
known 1138 1
large 575 1
later 2516 1
look 3711 1
loving 378 1
maintains 74 1
majority 201 1
matter 1232 1
members 586 1
missed 585 1
more 14672 1
now 4631 1
opinion 1020 1
opposed 145 1
order 979 1
organization 51 1
over 5166 1
part 3970 1
particular 813 1
peace 240 1
perfect 2370 1
powerful 943 1
previously 220 1
probably 2659 1
reality 1201 1
recommend 2076 1
regain 34 1
relationships 488 1
save 574 1
scifi 536 1
seemed 997 1
seen 6721 1
select 38 1
send 193 1
series 3876 1
set 2330 1
shouldnt 285 1
single 719 1
soon 1304 1
space 674 1
sports 239 1
start 1458 1
stated 132 1
still 6369 1
stories 1228 1
story 12609 1
strongly 293 1
super 304 1
superb 1104 1
takes 2401 1
taking 967 1
than 9092 1
these 5179 1
those 5030 1
threat 129 1
thus 421 1
truly 2017 1
try 1523 1
typical 858 1
unique 932 1
violently 37 1
watch 6632 1
well 11406 1
what 14519 1
where 6064 1
wing 123 1
within 857 1
wrong 1284 1
animated 569 1
based 1512 1
better 4642 1
bit 3309 1
books 475 1
buffs 115 1
certain 903 1
computer 299 1
countries 192 1
david 1237 1
death 2089 1
doc 113 1
fair 385 1
familiar 644 1
family 3529 1
foreign 301 1
fun 3240 1
graphics 168 1
hand 1009 1
happened 907 1
innovation 33 1
innovative 123 1
isolated 111 1
kid 954 1
like 17184 1
live 1723 1
looking 1961 1
mostly 890 1
motion 359 1
mystical 49 1
neat 153 1
none 635 1
nonetheless 245 1
once 2463 1
outdated 51 1
parts 1286 1
personally 507 1
picture 1605 1
planet 414 1
plus 611 1
powers 288 1
release 935 1
released 1176 1
rules 293 1
seem 1948 1
smiths 42 1
somewhat 1013 1
such 4992 1
sure 2461 1
too 6975 1
use 1698 1
always 4037 1
comedy 3363 1
curly 63 1
doubt 710 1
dozens 88 1
example 1174 1
fondly 29 1
funniest 510 1
hilarious 1392 1
ive 3120 1
laugh 1176 1
makes 4695 1
musical 1130 1
remember 1860 1
sequences 696 1
shorts 241 1
stooges 115 1
times 3507 1
without 3218 1
actress 1159 1
again 4159 1
anyone 2427 1
anything 2066 1
bbc 261 1
being 6406 1
best 8390 1
beyond 764 1
brought 907 1
canada 106 1
connect 98 1
desires 107 1
doubts 102 1
dvd 2836 1
expectation 55 1
feeling 1178 1
films 8581 1
hurts 77 1
important 1131 1
lesbian 152 1
lives 1726 1
living 1205 1
love 8497 1
made 7086 1
must 3232 1
nan 45 1
need 1671 1
never 6291 1
pains 46 1
portrayal 722 1
portrays 299 1
purchased 112 1
rachael 35 1
real 4902 1
sadness 181 1
see 11986 1
seeing 2186 1
thing 3344 1
thrilled 81 1
true 2779 1
twice 375 1
women 1550 1
works 1614 1
accurately 86 1
act 1034 1
almost 3069 1
apart 536 1
attitude 282 1
becomes 1433 1
been 8223 1
board 271 1
boarding 42 1
body 808 1
boy 1522 1
brief 409 1
buster 143 1
butcher 66 1
buy 775 1
casually 37 1
comedies 537 1
comes 2401 1
confused 297 1
course 2636 1
curiosity 106 1
cuts 207 1
cutting 150 1
debut 349 1
deftly 43 1
destroyed 147 1
drag 193 1
dress 172 1
ending 2336 1
era 723 1
excuse 146 1
familys 97 1
fast 648 1
featuring 279 1
filled 554 1
film 40161 1
filmmakers 473 1
flipping 41 1
follows 640 1
frenetic 34 1
fresh 493 1
funny 4037 1
gag 108 1
generally 368 1
gets 2917 1
girlfriends 56 1
girls 1160 1
going 3481 1
grace 341 1
half 1257 1
hat 167 1
helping 197 1
here 4969 1
historical 456 1
humor 1506 1
idiosyncratic 26 1
imagined 116 1
immediately 482 1
interest 879 1
john 2445 1
keaton 216 1
knife 95 1
language 594 1
laughs 584 1
level 859 1
little 6414 1
lot 4232 1
lots 821 1
make 6314 1
meat 115 1
might 2436 1
mine 314 1
moves 602 1
mysteriously 34 1
nice 2119 1
occasional 180 1
odd 561 1
oldfashioned 67 1
overall 1553 1
performance 3638 1
performs 108 1
physical 375 1
place 2392 1
position 217 1
possibilities 83 1
pound 58 1
proper 198 1
provides 481 1
pure 624 1
raise 151 1
recognizable 73 1
remembered 325 1
rival 196 1
routine 177 1
routines 57 1
running 753 1
scale 185 1
school 1616 1
seems 3099 1
sees 664 1
segment 274 1
segments 144 1
shows 3018 1
sight 318 1
skill 198 1
slapstick 225 1
spins 31 1
stands 510 1
store 415 1
stuck 276 1
stunned 89 1
substantial 49 1
subtlety 115 1
surreal 310 1
theres 2351 1
time 12129 1
title 1340 1
trying 1914 1
unsettling 119 1
vaudeville 41 1
wearing 222 1
welldone 83 1
whole 2533 1
why 3521 1
young 4416 1
abroad 49 1
actor 2190 1
aerial 50 1
anna 251 1
another 4089 1
anywhere 261 1
apparently 541 1
around 3244 1
beautiful 3003 1
beer 100 1
black 1954 1
blue 466 1
bottle 96 1
brilliant 1835 1
britain 165 1
cameo 255 1
charles 561 1
china 244 1
classic 2311 1
combine 97 1
commander 95 1
country 1054 1
countryside 120 1
created 613 1
czech 86 1
dance 801 1
dark 1559 1
device 148 1
devices 72 1
dog 676 1
easier 144 1
england 341 1
english 1085 1
excellent 3332 1
fall 772 1
famous 931 1
father 2103 1
features 743 1
fellow 411 1
fights 254 1
fine 1598 1
fitzgerald 38 1
flee 46 1
floating 91 1
french 1030 1
garden 87 1
german 642 1
glasses 92 1
good 14573 1
got 3108 1
great 12812 1
hans 70 1
help 1924 1
highly 1665 1
icons 37 1
incredibly 521 1
interesting 2839 1
kevin 344 1
kline 89 1
late 1363 1
lavish 70 1
learning 194 1
life 7563 1
lookalike 27 1
loss 321 1
massey 40 1
moving 1103 1
music 3826 1
musician 106 1
nicely 417 1
number 1043 1
original 2619 1
pearl 115 1
piano 147 1
pilot 283 1
pilots 75 1
plays 2644 1
point 2522 1
postwar 94 1
realistic 1023 1
recommended 735 1
record 306 1
reflected 69 1
republic 52 1
ridiculously 51 1
role 3773 1
romance 821 1
ron 135 1
scenes 4826 1
score 1282 1
scored 62 1
sensational 66 1
seven 359 1
shot 1765 1
showing 848 1
shown 1120 1
sisters 373 1
sky 283 1
son 1325 1
song 1185 1
south 553 1
southern 196 1
speaking 322 1
special 1892 1
stalwart 29 1
straight 601 1
stuff 1041 1
subtitles 304 1
surrounding 159 1
susan 202 1
tea 95 1
team 903 1
theme 939 1
themes 551 1
throughout 1499 1
tradition 205 1
traditional 328 1
trials 82 1
tribulations 35 1
unlike 746 1
used 1852 1
vintage 71 1
war 2801 1
whenever 239 1
while 5515 1
woman 2510 1
worth 2469 1
yet 3017 1
ability 473 1
acting 4690 1
actually 3372 1
adorable 134 1
adults 391 1
adventure 613 1
afraid 303 1
alike 155 1
along 2064 1
alternative 109 1
ample 40 1
arent 685 1
ark 31 1
asking 176 1
attention 1011 1
audience 1969 1
audiences 581 1
away 2579 1
background 655 1
bend 57 1
birthday 172 1
bobby 151 1
both 4354 1
breathtaking 262 1
british 988 1
bull 94 1
cannot 943 1
captured 368 1
cars 270 1
cgi 188 1
child 1163 1
children 1546 1
childrens 191 1
choreography 117 1
chuckle 56 1
cinema 1641 1
cinematic 445 1
classics 285 1
closer 237 1
common 518 1
community 328 1
companions 41 1
continually 63 1
could 6120 1
coupled 69 1
courage 221 1
creative 401 1
darkness 208 1
dedication 63 1
demonstrates 95 1
detail 429 1
didnt 3369 1
directed 1205 1
direction 1184 1
disney 629 1
distract 53 1
does 5936 1
doesnt 3726 1
down 3266 1
during 2278 1
ease 118 1
emerge 71 1
emphasis 121 1
event 380 1
events 1010 1
eventually 783 1
everyone 2299 1
everything 2352 1
excellence 71 1
excited 168 1
excitement 191 1
exciting 569 1
expect 1167 1
exploding 56 1
families 305 1
favorite 1833 1
feature 752 1
fields 115 1
fifteen 92 1
